# Rating [kW],Rotor Diam [m],Blade Mass Exp,Shear Exp,Wind Vel [m/s],TCC [USD/kW],AEP [kWh/yr]
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,1.000000000000000056e-01,5.000000000000000000e+00,4.638769971626027200e+02,1.410418596949263476e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,1.000000000000000056e-01,6.000000000000000000e+00,4.638769971626027200e+02,2.431561224105554633e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,1.000000000000000056e-01,7.000000000000000000e+00,4.638769971626027200e+02,3.612161148127859458e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,1.000000000000000056e-01,8.000000000000000000e+00,4.638769971626027200e+02,4.826058467091006227e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,1.000000000000000056e-01,9.000000000000000000e+00,4.638769971626027200e+02,5.964528415553407744e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,1.000000000000000056e-01,1.000000000000000000e+01,4.638769971626027200e+02,6.948248874865069054e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,1.000000000000000056e-01,1.100000000000000000e+01,4.638769971626027200e+02,7.731245182271082886e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,2.000000000000000111e-01,5.000000000000000000e+00,4.638769971626027200e+02,1.494480890234814724e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,2.000000000000000111e-01,6.000000000000000000e+00,4.638769971626027200e+02,2.556386353473086376e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,2.000000000000000111e-01,7.000000000000000000e+00,4.638769971626027200e+02,3.769185359864305705e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,2.000000000000000111e-01,8.000000000000000000e+00,4.638769971626027200e+02,5.000628438149226829e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,2.000000000000000111e-01,9.000000000000000000e+00,4.638769971626027200e+02,6.139771212712007575e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,2.000000000000000111e-01,1.000000000000000000e+01,4.638769971626027200e+02,7.108201101020110771e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,2.000000000000000111e-01,1.100000000000000000e+01,4.638769971626027200e+02,7.863533638227077201e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,3.000000000000000444e-01,5.000000000000000000e+00,4.638769971626027200e+02,1.582392646537899738e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,3.000000000000000444e-01,6.000000000000000000e+00,4.638769971626027200e+02,2.685339030352917500e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,3.000000000000000444e-01,7.000000000000000000e+00,4.638769971626027200e+02,3.929370321497623809e+06
2.000000000000000000e+03,6.000000000000000000e+01,2.100000000000000089e+00,3.000000000000000444e-01,8.000000000000000000e+00,4.638769971626027200e+02,5.176369020223138854e+06
